Time,Identity,Confidence
2025-04-20 15:15:09,phat,0.60
2025-04-21 15:58:07,phat,0.62
2025-04-21 15:58:29,phat,0.61
2025-04-21 15:58:36,phat,0.61
2025-04-21 21:17:16,thien_phu,0.70
2025-04-21 21:17:21,thien_phu,0.67
2025-04-21 21:17:24,phat,0.73
2025-04-21 21:17:27,thien_phu,0.94
2025-04-21 21:17:32,thien_phu,0.95
2025-04-21 21:17:33,phat,0.68
2025-04-21 21:17:37,thien_phu,0.66
2025-04-21 21:17:43,thien_phu,0.68
2025-04-21 21:17:43,phat,0.76
2025-04-21 21:17:48,thien_phu,0.97
2025-04-21 21:17:53,thien_phu,0.89
2025-04-21 21:18:13,the_hao,0.76
2025-04-21 21:18:15,thien_phu,0.60
2025-04-21 21:18:18,the_hao,0.78
2025-04-21 21:18:20,thien_phu,0.65
2025-04-21 21:18:23,the_hao,0.65
2025-04-21 21:18:26,thien_phu,0.65
2025-04-21 21:18:27,phat,0.65
2025-04-21 21:18:29,the_hao,0.82
2025-04-21 21:18:31,thien_phu,0.72
2025-04-21 21:18:34,phat,0.67
2025-04-21 21:18:38,thien_phu,0.65
2025-04-21 21:18:39,phat,0.80
2025-04-21 21:18:40,nhat_truong,0.63
2025-04-21 21:18:44,thien_phu,0.79
2025-04-21 21:18:45,phat,0.97
2025-04-21 21:19:08,phat,0.61
2025-04-21 21:24:12,thien_phu,0.75
2025-04-21 21:24:17,thien_phu,1.00
2025-04-21 21:24:22,thien_phu,0.80
2025-04-21 21:24:27,thien_phu,0.84
2025-04-21 21:24:32,thien_phu,0.98
2025-04-21 21:24:37,thien_phu,0.89
2025-04-21 21:24:50,the_hao,0.64
2025-04-21 21:24:56,the_hao,0.63
2025-04-21 21:25:01,thien_phu,0.62
2025-04-21 21:25:03,phat,0.66
2025-04-21 21:25:04,the_hao,0.90
2025-04-21 21:25:07,thien_phu,0.84
2025-04-21 21:25:08,phat,0.61
2025-04-21 21:25:12,thien_phu,0.79
2025-04-21 21:25:13,nhat_truong,0.62
2025-04-21 21:25:13,phat,0.61
2025-04-21 21:25:17,thien_phu,0.85
2025-04-21 21:25:19,nhat_truong,0.67
2025-04-21 21:25:19,phat,0.79
2025-04-21 21:25:22,thien_phu,0.91
2025-04-21 21:25:24,phat,0.64
2025-04-21 21:25:29,phat,0.79
2025-04-21 21:25:31,thien_phu,0.69
2025-04-21 21:25:34,phat,0.89
2025-04-21 21:25:37,thien_phu,0.67
2025-04-21 21:25:39,phat,0.66
2025-04-21 21:25:42,thien_phu,0.66
2025-04-21 21:25:44,phat,0.88
2025-04-21 21:25:49,the_hao,0.66
2025-04-21 21:25:50,phat,0.79
2025-04-21 21:25:51,thien_phu,0.65
2025-04-21 21:25:55,phat,0.80
2025-04-21 21:25:58,the_hao,0.78
2025-04-21 21:26:00,thien_phu,0.61
2025-04-21 21:26:00,phat,0.74
2025-04-21 21:37:10,thien_phu,0.87
2025-04-21 21:37:10,phat,0.61
2025-04-21 21:37:15,thien_phu,0.85
2025-04-21 21:37:16,phat,0.60
2025-04-21 21:37:20,thien_phu,0.93
2025-04-21 21:37:22,phat,0.61
2025-04-21 21:37:25,thien_phu,0.78
2025-04-21 21:37:30,thien_phu,0.96
2025-04-21 21:37:35,thien_phu,0.92
2025-04-21 21:37:41,thien_phu,0.72
2025-04-21 21:37:43,phat,0.67
2025-04-21 21:37:46,thien_phu,0.96
2025-04-21 21:37:52,thien_phu,0.94
2025-04-21 21:37:54,phat,0.71
2025-04-21 21:38:08,the_hao,0.61
2025-04-21 21:38:10,nhat_truong,0.67
2025-04-21 21:38:11,phat,0.61
2025-04-21 21:38:16,phat,0.64
2025-04-21 21:38:16,the_hao,0.60
2025-04-21 21:38:21,phat,0.63
2025-04-21 21:38:22,thien_phu,0.91
2025-04-21 21:38:23,the_hao,0.63
2025-04-21 21:38:27,phat,0.70
2025-04-21 21:38:27,thien_phu,0.97
2025-04-21 21:38:28,the_hao,0.67
2025-04-21 21:38:29,nhat_truong,0.63
2025-04-21 21:38:33,thien_phu,0.85
2025-04-21 21:38:34,nhat_truong,0.70
2025-04-21 21:38:38,the_hao,0.61
2025-04-21 21:38:38,thien_phu,0.63
2025-04-21 21:40:00,thien_phu,0.71
2025-04-21 21:40:06,thien_phu,0.83
2025-04-21 21:40:11,thien_phu,1.00
2025-04-21 21:40:14,phat,0.76
2025-04-21 21:40:16,thien_phu,0.92
2025-04-21 21:40:35,nhat_truong,0.73
2025-04-21 21:40:43,thien_phu,0.91
2025-04-21 21:40:43,phat,0.71
2025-04-21 21:40:44,the_hao,0.86
2025-04-21 21:40:48,thien_phu,0.77
2025-04-21 21:40:52,nhat_truong,0.72
2025-04-21 21:40:53,thien_phu,0.84
2025-04-21 21:40:58,thien_phu,0.92
2025-04-21 21:41:03,thien_phu,0.86
2025-04-21 21:41:09,thien_phu,0.78
2025-04-21 21:41:14,thien_phu,0.94
2025-04-21 21:41:19,thien_phu,0.95
2025-04-21 21:41:21,phat,0.76
2025-04-21 21:41:24,thien_phu,0.74
2025-04-21 21:55:46,phat,0.76
2025-04-21 21:55:53,phat,0.77
2025-04-21 21:55:58,phat,0.79
2025-04-21 21:56:03,phat,0.73
2025-04-21 21:56:05,thien_phu,0.80
2025-04-21 21:56:08,phat,0.71
2025-04-21 21:56:13,phat,0.74
2025-04-21 21:56:25,phat,0.72
2025-04-21 21:56:30,phat,0.71
2025-04-21 21:56:35,phat,0.72
2025-04-21 21:56:37,thien_phu,0.78
2025-04-21 21:56:41,phat,0.84
2025-04-21 21:56:46,phat,0.71
2025-04-21 21:56:51,phat,0.74
2025-04-21 21:56:56,phat,0.81
2025-04-21 21:58:52,phat,0.63
2025-04-21 21:58:58,phat,0.73
2025-04-21 22:41:39,the_hao,0.71
2025-04-21 22:41:41,phat,0.60
2025-04-21 22:41:44,the_hao,0.73
2025-04-21 22:41:54,thien_phu,0.74
2025-04-21 22:42:09,thien_phu,0.67
2025-04-21 22:42:14,thien_phu,0.68
2025-04-21 22:42:17,the_hao,0.68
2025-04-21 22:42:18,phat,0.63
2025-04-21 22:42:26,thien_phu,0.67
2025-04-21 22:42:27,phat,0.61
2025-04-21 22:42:33,phat,0.61
2025-04-21 22:42:34,thien_phu,0.69
2025-04-21 22:42:39,phat,0.63
2025-04-21 22:42:41,thien_phu,0.72
2025-04-21 22:42:44,phat,0.66
2025-04-21 22:42:51,phat,0.75
2025-04-21 22:42:58,phat,0.69
2025-04-21 22:43:02,thien_phu,0.61
2025-04-21 22:43:03,phat,0.61
2025-04-21 22:43:08,thien_phu,0.63
2025-04-21 22:43:08,phat,0.65
2025-04-21 22:43:14,phat,0.62
2025-04-21 22:43:20,phat,0.61
2025-04-21 22:43:26,phat,0.71
2025-04-21 22:43:32,phat,0.61
2025-04-21 22:43:34,thien_phu,0.64
2025-04-21 22:43:37,phat,0.66
2025-04-21 22:43:42,thien_phu,0.65
2025-04-21 22:43:46,phat,0.68
2025-04-21 22:43:48,the_hao,0.60
2025-04-21 22:43:52,phat,0.64
2025-04-21 22:43:52,thien_phu,0.60
2025-04-21 22:43:57,thien_phu,0.83
2025-04-21 22:44:05,the_hao,0.70
2025-04-21 22:44:13,the_hao,0.65
2025-04-21 22:44:13,thien_phu,0.63
2025-04-21 22:44:20,thien_phu,0.65
2025-04-21 22:44:26,the_hao,0.67
2025-04-21 22:44:28,thien_phu,0.60
2025-04-21 22:44:32,the_hao,0.61
2025-04-21 22:44:34,phat,0.64
2025-04-21 22:44:39,phat,0.67
2025-04-21 22:44:45,phat,0.62
2025-04-21 22:44:50,phat,0.62
2025-04-21 22:44:55,thien_phu,0.65
2025-04-21 22:44:56,phat,0.66
2025-04-21 22:45:01,thien_phu,0.62
2025-04-21 22:45:01,phat,0.71
2025-04-21 22:45:04,the_hao,0.63
2025-04-21 22:45:07,phat,0.62
2025-04-21 22:45:13,phat,0.69
2025-04-21 22:45:15,thien_phu,0.60
2025-04-21 22:45:20,phat,0.62
2025-04-21 22:45:24,thien_phu,0.65
2025-04-21 22:45:30,phat,0.62
2025-04-21 22:45:33,thien_phu,0.66
2025-04-21 22:45:35,phat,0.67
2025-04-21 22:45:41,phat,0.72
2025-04-21 22:45:45,thien_phu,0.67
2025-04-21 22:45:47,phat,0.61
2025-04-21 22:45:53,phat,0.70
2025-04-21 22:46:01,thien_phu,0.76
2025-04-21 22:46:04,phat,0.62
2025-04-21 22:46:09,thien_phu,0.66
2025-04-22 00:42:29,thien_phu,0.71
2025-04-22 00:42:33,the_hao,0.70
2025-04-22 00:42:34,thien_phu,0.71
2025-04-22 00:42:55,the_hao,0.75
2025-04-22 00:42:59,thien_phu,0.70
2025-04-22 00:43:15,thien_phu,0.75
2025-04-22 00:43:15,the_hao,0.71
2025-04-22 13:32:23,the_hao,0.31
2025-04-22 13:32:27,thien_phu,0.30
2025-04-22 13:32:33,phat,0.30
2025-04-22 13:32:36,nhat_truong,0.30
2025-04-22 13:32:37,thien_phu,0.30
2025-04-22 13:32:39,phat,0.30
2025-04-22 13:32:43,thien_phu,0.30
2025-04-22 13:58:36,the_hao,0.32
2025-04-22 13:58:37,nhat_truong,0.30
2025-04-22 13:58:41,the_hao,0.30
2025-04-22 13:58:43,nhat_truong,0.34
2025-04-22 13:58:46,the_hao,0.32
2025-04-22 13:58:48,nhat_truong,0.36
2025-04-22 13:58:53,nhat_truong,0.32
2025-04-22 13:58:54,the_hao,0.30
2025-04-22 13:59:49,the_hao,0.32
2025-04-22 13:59:50,hong_nhung,0.30
2025-04-22 13:59:54,nhat_truong,0.30
2025-04-22 13:59:55,the_hao,0.30
2025-04-22 13:59:56,hong_nhung,0.30
2025-04-22 14:00:01,hong_nhung,0.30
2025-04-22 14:00:01,the_hao,0.30
2025-04-22 14:00:01,nhat_truong,0.30
2025-04-22 14:00:06,hong_nhung,0.30
2025-04-22 14:00:07,nhat_truong,0.36
2025-04-22 14:00:12,the_hao,0.30
2025-04-22 14:00:12,hong_nhung,0.30
2025-04-22 14:00:14,nhat_truong,0.30
2025-04-22 14:00:17,hong_nhung,0.32
2025-04-22 14:00:19,nhat_truong,0.34
2025-04-22 14:00:19,the_hao,0.34
2025-04-22 14:00:23,hong_nhung,0.30
2025-04-22 14:00:24,thien_phu,0.30
2025-04-22 14:00:25,nhat_truong,0.30
2025-04-22 14:00:25,the_hao,0.34
2025-04-22 14:00:28,hong_nhung,0.34
2025-04-22 14:00:30,the_hao,0.36
2025-04-22 21:40:15,nhat_truong,0.34
2025-04-22 21:40:17,hong_nhung,0.30
2025-04-22 21:40:20,nhat_truong,0.40
2025-04-22 21:40:20,the_hao,0.30
2025-04-22 21:40:22,hong_nhung,0.30
2025-04-22 21:40:25,nhat_truong,0.38
2025-04-22 21:57:28,hong_nhung,0.36
2025-04-22 21:57:33,hong_nhung,0.34
2025-04-22 21:57:38,hong_nhung,0.33
2025-04-22 21:58:08,hong_nhung,0.33
